order_id,category,region,sales,quantity,order_date
3001,Electronics,North,1200,2,2024-05-01
3002,Furniture,South,850,1,2024-05-01
3003,Clothing,West,450,3,2024-05-01
3004,Electronics,East,1500,1,2024-05-02
3005,Furniture,North,700,2,2024-05-02
3006,Clothing,South,300,2,2024-05-02
3007,Electronics,West,2200,3,2024-05-03
3008,Furniture,East,650,1,2024-05-03
3009,Clothing,North,500,4,2024-05-03
3010,Electronics,South,1800,2,2024-05-04
3011,Furniture,West,900,2,2024-05-04
3012,Clothing,East,350,1,2024-05-04
3013,Electronics,North,2100,2,2024-05-05
3014,Furniture,South,780,1,2024-05-05
3015,Clothing,West,400,2,2024-05-05
3016,Electronics,East,1700,1,2024-05-06
3017,Furniture,North,620,2,2024-05-06
3018,Clothing,South,320,1,2024-05-06
3019,Electronics,West,2500,3,2024-05-07
3020,Furniture,East,710,2,2024-05-07
3021,Clothing,North,520,4,2024-05-07
3022,Electronics,South,1900,2,2024-05-08
3023,Furniture,West,920,2,2024-05-08
3024,Clothing,East,360,1,2024-05-08
3025,Electronics,North,2150,2,2024-05-09
3026,Furniture,South,800,1,2024-05-09
3027,Clothing,West,420,2,2024-05-09
3028,Electronics,East,1750,1,2024-05-10
3029,Furniture,North,640,2,2024-05-10
3030,Clothing,South,330,1,2024-05-10
3031,Electronics,West,2600,3,2024-05-11
3032,Furniture,East,730,2,2024-05-11
3033,Clothing,North,540,4,2024-05-11
3034,Electronics,South,1850,2,2024-05-12
3035,Furniture,West,940,2,2024-05-12
3036,Clothing,East,370,1,2024-05-12
3037,Electronics,North,2200,2,2024-05-13
3038,Furniture,South,820,1,2024-05-13
3039,Clothing,West,430,2,2024-05-13
3040,Electronics,East,1800,1,2024-05-14
3041,Furniture,North,660,2,2024-05-14
3042,Clothing,South,340,1,2024-05-14
3043,Electronics,West,2700,3,2024-05-15
3044,Furniture,East,750,2,2024-05-15
3045,Clothing,North,560,4,2024-05-15
